,1,2,3,4
0.005,3.84576488,3.009390455,2.634759231,2.417477724
0.01,3.87963416,3.071041045,2.691515246,2.488542767
0.015,3.929233932,3.131518147,2.758358733,2.555245264
0.02,3.975381441,3.188628137,2.826711141,2.634907654
0.025,4.033410826,3.239229292,2.902303472,2.703567035
0.03,4.084888559,3.297764788,2.977882756,2.781321771
0.035,4.143053746,3.364063784,3.037187818,2.863158948
0.04,4.190507098,3.428866976,3.108629018,2.94620434
0.045,4.245183471,3.491119179,3.19387853,3.037950693
0.05,4.310057378,3.557035348,3.273059721,3.121653361
0.055,4.358225568,3.614376327,3.340096647,3.216070958
0.06,4.421941188,3.690157019,3.413750522,3.306444019
0.065,4.469364979,3.754765443,3.500218405,3.40967654
0.07,4.534035569,3.822960506,3.586175092,3.510371423
0.075,4.599617929,3.896105082,3.672188474,3.615252599
0.08,4.661675054,3.972893387,3.764024689,3.719379118
0.085,4.731910168,4.052869959,3.867808177,3.827710872
0.09,4.809535478,4.118546404,3.961266969,3.93251575
0.095,4.876681116,4.198766735,4.054927266,4.055401825
0.1,4.933222815,4.288890098,4.152725123,4.167801132
0.105,4.998574622,4.363707666,4.257158279,4.279722449
0.11,5.062256964,4.438084995,4.348280425,4.394586329
0.115,5.123735876,4.520393977,4.443999602,4.512079305
0.12,5.184548165,4.609478402,4.533952906,4.63750396
0.125,5.257790746,4.694314224,4.638209674,4.771060422
0.13,5.325346599,4.793891437,4.746547027,4.895718317
0.135,5.39386028,4.905873856,4.855221195,5.035239182
0.14,5.45861755,4.999037977,4.960827068,5.163265742
0.145,5.533055598,5.089149872,5.061872154,5.321808199
0.15,5.606481366,5.170277091,5.178088413,5.461824689
0.155,5.68666241,5.250242481,5.301168532,5.589834077
0.16,5.752859712,5.339608711,5.414866632,5.721228928
0.165,5.824475255,5.43469768,5.53446218,5.868959218
0.17,5.883519729,5.534920733,5.641904075,6.021809492
0.175,5.958300071,5.638520649,5.779790406,6.184483086
0.18,6.039202761,5.734051568,5.903869089,6.330216088
0.185,6.105351416,5.842609747,6.026112542,6.483879041
0.19,6.200284061,5.936546202,6.164276732,6.651161586
0.195,6.300268693,6.041299106,6.294906095,6.800942523
0.2,6.395020744,6.148176131,6.410319979,6.961460568
0.205,6.481377591,6.254209436,6.533837412,7.117899705
0.21,6.55933448,6.378322516,6.672591602,7.268043706
0.215,6.639154989,6.481580003,6.796974882,7.431997012
0.22,6.721805776,6.601892276,6.93073868,7.594302276
0.225,6.789456599,6.703323167,7.071020331,7.756386433
0.23,6.883654906,6.821156443,7.210364139,7.911707401
0.235,6.977580742,6.912858704,7.349413869,8.101169725
0.24,7.044200983,7.014436734,7.489367946,8.27957816
0.245,7.147110263,7.127545061,7.623421608,8.430199835
0.25,7.239532468,7.251710237,7.785943805,8.600611738
0.255,7.348450357,7.413996803,7.920397567,8.781793082
0.26,7.442424931,7.531497814,8.06919354,8.928742161
0.265,7.514860106,7.626563179,8.230851538,9.111698543
0.27,7.598039979,7.727473359,8.370550598,9.282045303
0.275,7.676038904,7.82010321,8.510439775,9.458126184
0.28,7.763731171,7.934485486,8.665318665,9.629423256
0.285,7.844745147,8.031956371,8.819713903,9.824538017
0.29,7.950323854,8.153544086,8.93889595,9.960111287
0.295,8.043285395,8.253347013,9.072175317,10.12784851
0.3,8.154468186,8.379488286,9.230011783,10.31056031
0.305,8.23628205,8.492074808,9.393496156,10.46892428
0.31,8.312337692,8.617307958,9.540647732,10.68456044
0.315,8.405821176,8.719643792,9.702922272,10.86558597
0.32,8.501669942,8.838198049,9.880734913,11.05447463
0.325,8.561931879,8.979066088,10.05562996,11.24052832
0.33,8.661469451,9.095443232,10.19918492,11.42425225
0.335,8.75618099,9.224318491,10.3619984,11.59218008
0.34,8.837252849,9.379092654,10.47758743,11.76643269
0.345,8.955350085,9.517955801,10.64333103,11.91109877
0.35,9.065372427,9.640303228,10.78449047,12.03463655
0.355,9.182380984,9.780347458,10.95208236,12.2136605
0.36,9.26056894,9.908084471,11.0664761,12.41569376
0.365,9.364056946,10.02017078,11.17829254,12.58033923
0.37,9.425473576,10.14355192,11.30623286,12.76877158
0.375,9.521897755,10.259587,11.42249669,12.95616825
0.38,9.607811396,10.37391319,11.57453323,13.12725331
0.385,9.700457493,10.50451616,11.76258888,13.30504325
0.39,9.788650396,10.64069047,11.93031135,13.50325286
0.395,9.886895027,10.75782438,12.07871599,13.65230317
0.4,9.949499299,10.88469506,12.22264117,13.81957888
0.405,10.07129724,10.99635891,12.35837627,13.99201947
0.41,10.19945782,11.161385,12.48621879,14.18347746
0.415,10.29671553,11.28963369,12.63881939,14.3145484
0.42,10.39204932,11.39059591,12.77884969,14.49836439
0.425,10.51048846,11.51048438,12.94995453,14.64388036
0.43,10.58180174,11.63316855,13.08965672,14.75800624
0.435,10.67537589,11.78065266,13.25135858,14.89864092
0.44,10.76676703,11.88062669,13.40542246,15.06582729
0.445,10.8687833,11.99330376,13.53702506,15.25438097
0.45,10.96663097,12.07172346,13.68043691,15.44084016
0.455,11.06263227,12.20170375,13.84901084,15.60292015
0.46,11.17773125,12.35306994,13.99872019,15.7713773
0.465,11.28674128,12.51651265,14.15017961,15.95326769
0.47,11.41048773,12.65350428,14.35424112,16.11719089
0.475,11.50421585,12.77584576,14.54669346,16.30754734
0.48,11.59512338,12.90491703,14.68930651,16.45289348
0.485,11.69419291,13.04107998,14.80051578,16.61877487
0.49,11.78800012,13.18902297,14.95670683,16.77526155
0.495,11.90093801,13.31892308,15.11800878,16.92664636
0.5,12.03499782,13.48047313,15.24017799,17.09666125
0.505,12.11313846,13.64249921,15.3721497,17.25109287
0.51,12.228467,13.75039348,15.53352462,17.42572466
0.515,12.31374648,13.86973505,15.67843319,17.58836447
0.52,12.40046848,14.01575694,15.82306885,17.7707463
0.525,12.46981992,14.1458365,15.99839389,17.89052539
0.53,12.61217426,14.29443621,16.15479919,18.04784412
0.535,12.72170633,14.41096743,16.31519999,18.2087811
0.54,12.79820975,14.5365157,16.49814103,18.36911879
0.545,12.93840779,14.65940832,16.61789701,18.60591681
0.55,13.04052588,14.80232714,16.79027642,18.74441417
0.555,13.18490362,14.91157549,16.96424795,18.93645084
0.56,13.26113985,15.04485673,17.11245954,19.12817622
0.565,13.3384647,15.16885969,17.26484563,19.27690435
0.57,13.42815731,15.2783962,17.40486156,19.42998089
0.575,13.5277717,15.40812867,17.52481266,19.55597423
0.58,13.63939754,15.51871384,17.6657522,19.73885294
0.585,13.79708327,15.62288181,17.78037891,19.89998411
0.59,13.89586662,15.77564353,17.85565669,20.05518379
0.595,13.97242328,15.9133217,18.00500323,20.21313232
0.6,14.08750157,16.04357665,18.18148546,20.32809068
0.605,14.18592799,16.15466494,18.28425477,20.53778266
0.61,14.29589552,16.25277888,18.40681852,20.73595155
0.615,14.42018573,16.36230821,18.54030291,20.85483413
0.62,14.53470954,16.50499433,18.68416516,20.99538621
0.625,14.64066254,16.62964656,18.80286723,21.16634296
0.63,14.76497512,16.74835765,18.94469137,21.3005893
0.635,14.85735801,16.85458165,19.09949973,21.44440088
0.64,14.96647887,16.97384795,19.21557742,21.61199781
0.645,15.07962231,17.10969871,19.33834169,21.76959885
0.65,15.20403904,17.19901304,19.46751581,21.91916834
0.655,15.3392025,17.33805983,19.59525517,22.04569053
0.66,15.45562565,17.45571878,19.69482135,22.20707288
0.665,15.51150313,17.54450494,19.87583408,22.34323508
0.67,15.58817728,17.69324229,20.03122057,22.4709511
0.675,15.67056102,17.77788404,20.14422822,22.60437074
0.68,15.7677869,17.88279908,20.26780303,22.71809418
0.685,15.89126392,17.97271684,20.44625058,22.86020831
0.69,15.9756461,18.07583717,20.51644754,23.03492637
0.695,16.08616443,18.19783572,20.67712562,23.23525571
0.7,16.17168172,18.35516617,20.85056821,23.40618138
0.705,16.30363423,18.48637714,21.00318677,23.52550299
0.71,16.41896951,18.60635156,21.15462305,23.68542875
0.715,16.50592316,18.72509968,21.32864888,23.89822588
0.72,16.58277469,18.82664419,21.52762213,24.0616035
0.725,16.70774512,18.94654468,21.63494605,24.1618406
0.73,16.80778998,19.09321304,21.7367945,24.32833234
0.735,16.90909145,19.22869434,21.86422909,24.47871314
0.74,17.0158232,19.36544171,21.96256615,24.60783267
0.745,17.13968816,19.50268438,22.13064593,24.77586218
0.75,17.24908142,19.603884,22.27513934,24.92210674
0.755,17.31544911,19.70544972,22.41040557,25.07290815
0.76,17.39860186,19.84451314,22.5622089,25.18506476
0.765,17.4838632,19.94534557,22.70590008,25.33907423
0.77,17.62333328,20.05925156,22.79734148,25.52726857
0.775,17.71135775,20.18968009,22.88467853,25.67890225
0.78,17.83194739,20.30496438,23.00145607,25.8183186
0.785,17.96081026,20.42685399,23.1769406,25.96120191
0.79,18.08692093,20.51683878,23.25816841,26.09186335
0.795,18.1644628,20.64196531,23.36292782,26.22091375
0.8,18.23233514,20.78305401,23.51477219,26.32345934
0.805,18.34758795,20.9051464,23.68040479,26.47615708
0.81,18.47029998,21.06443174,23.82655896,26.68134325
0.815,18.54959316,21.19083758,23.96989119,26.85347196
0.82,18.64322734,21.30759943,24.07962059,26.97679595
0.825,18.72896353,21.41614197,24.21629784,27.09825472
0.83,18.83921835,21.52766604,24.35030403,27.24122721
0.835,18.97286862,21.69809125,24.43737501,27.32445222
0.84,19.1119304,21.80676889,24.55160946,27.4728345
0.845,19.18407412,21.89119732,24.67863223,27.56072612
0.85,19.30997241,22.00463816,24.80048957,27.64060381
0.855,19.40178178,22.14554102,24.91600421,27.74732642
0.86,19.50103703,22.27959728,25.03618931,27.86317527
0.865,19.62523841,22.39277817,25.10669712,28.00890746
0.87,19.75509287,22.53596596,25.25248503,28.18179209
0.875,19.87700075,22.66289414,25.35948122,28.34828073
0.88,20.02145259,22.79873966,25.44422143,28.49303406
0.885,20.11905014,22.92683506,25.60540623,28.66023804
0.89,20.20059005,23.04450289,25.73662536,28.8382302
0.895,20.27295782,23.15135695,25.85656744,29.0183359
0.9,20.35210904,23.24805135,26.01788491,29.16854573
0.905,20.46078051,23.38115729,26.16127838,29.31055317
0.91,20.60009253,23.51567982,26.2753456,29.4708381
0.915,20.71121398,23.65132288,26.42335671,29.5802031
0.92,20.80780154,23.77597893,26.54872389,29.73169802
0.925,20.89875823,23.90157178,26.63699028,29.87370337
0.93,21.02456343,24.01812283,26.74756338,30.02605298
0.935,21.12294507,24.1492259,26.88203206,30.16289742
0.94,21.22524436,24.30408085,27.02389437,30.32135943
0.945,21.36031004,24.42387677,27.16141429,30.43358719
0.95,21.46550639,24.54371683,27.3201133,30.56681475
0.955,21.5630854,24.66731106,27.48856707,30.70226909
0.96,21.64699006,24.80841794,27.64723872,30.87612365
0.965,21.76749877,24.94048145,27.79228879,31.06592825
0.97,21.86565805,25.053349,27.91769588,31.22018967
0.975,21.98201227,25.19142665,28.05359017,31.37130367
0.98,22.10634387,25.31527813,28.20327805,31.50767369
0.985,22.20114451,25.46056778,28.32749038,31.69620005
0.99,22.31632165,25.5870468,28.47544281,31.85791295