"lug_type","cv","rule","rate","big_T","rho","model","num_sims"
"mother","fixed","mse",0.185,200,0.9,"AR1_HOMO",1000
"mother","fixed","ft",0.262,200,0.9,"AR1_HOMO",1000
"mother","fixed","opt",0.213,200,0.9,"AR1_HOMO",1000
"zero","fixed","mse",0.142,200,0.9,"AR1_HOMO",1000
"zero","fixed","ft",0.189,200,0.9,"AR1_HOMO",1000
"zero","fixed","opt",0.151,200,0.9,"AR1_HOMO",1000
"mother","small","mse",0.22,200,0.9,"AR1_HOMO",1000
"mother","small","ft",0.274,200,0.9,"AR1_HOMO",1000
"mother","small","opt",0.233,200,0.9,"AR1_HOMO",1000
"zero","small","mse",0.193,200,0.9,"AR1_HOMO",1000
"zero","small","ft",0.212,200,0.9,"AR1_HOMO",1000
"zero","small","opt",0.186,200,0.9,"AR1_HOMO",1000
"mother","fixed","mse",0.198,200,0.9,"AR1_HET",1000
"mother","fixed","ft",0.272,200,0.9,"AR1_HET",1000
"mother","fixed","opt",0.219,200,0.9,"AR1_HET",1000
"zero","fixed","mse",0.136,200,0.9,"AR1_HET",1000
"zero","fixed","ft",0.198,200,0.9,"AR1_HET",1000
"zero","fixed","opt",0.157,200,0.9,"AR1_HET",1000
"mother","small","mse",0.233,200,0.9,"AR1_HET",1000
"mother","small","ft",0.286,200,0.9,"AR1_HET",1000
"mother","small","opt",0.247,200,0.9,"AR1_HET",1000
"zero","small","mse",0.214,200,0.9,"AR1_HET",1000
"zero","small","ft",0.218,200,0.9,"AR1_HET",1000
"zero","small","opt",0.204,200,0.9,"AR1_HET",1000
"mother","fixed","mse",0.172,200,0.9,"ARMA_G",1000
"mother","fixed","ft",0.24,200,0.9,"ARMA_G",1000
"mother","fixed","opt",0.197,200,0.9,"ARMA_G",1000
"zero","fixed","mse",0.121,200,0.9,"ARMA_G",1000
"zero","fixed","ft",0.175,200,0.9,"ARMA_G",1000
"zero","fixed","opt",0.142,200,0.9,"ARMA_G",1000
"mother","small","mse",0.218,200,0.9,"ARMA_G",1000
"mother","small","ft",0.255,200,0.9,"ARMA_G",1000
"mother","small","opt",0.227,200,0.9,"ARMA_G",1000
"zero","small","mse",0.197,200,0.9,"ARMA_G",1000
"zero","small","ft",0.203,200,0.9,"ARMA_G",1000
"zero","small","opt",0.185,200,0.9,"ARMA_G",1000
"mother","fixed","mse",0.187,200,0.9,"ARMA_L",1000
"mother","fixed","ft",0.252,200,0.9,"ARMA_L",1000
"mother","fixed","opt",0.205,200,0.9,"ARMA_L",1000
"zero","fixed","mse",0.136,200,0.9,"ARMA_L",1000
"zero","fixed","ft",0.181,200,0.9,"ARMA_L",1000
"zero","fixed","opt",0.148,200,0.9,"ARMA_L",1000
"mother","small","mse",0.218,200,0.9,"ARMA_L",1000
"mother","small","ft",0.262,200,0.9,"ARMA_L",1000
"mother","small","opt",0.23,200,0.9,"ARMA_L",1000
"zero","small","mse",0.199,200,0.9,"ARMA_L",1000
"zero","small","ft",0.209,200,0.9,"ARMA_L",1000
"zero","small","opt",0.197,200,0.9,"ARMA_L",1000
"mother","fixed","mse",0.12,200,0.75,"AR1_HOMO",1000
"mother","fixed","ft",0.207,200,0.75,"AR1_HOMO",1000
"mother","fixed","opt",0.159,200,0.75,"AR1_HOMO",1000
"zero","fixed","mse",0.085,200,0.75,"AR1_HOMO",1000
"zero","fixed","ft",0.148,200,0.75,"AR1_HOMO",1000
"zero","fixed","opt",0.104,200,0.75,"AR1_HOMO",1000
"mother","small","mse",0.14,200,0.75,"AR1_HOMO",1000
"mother","small","ft",0.208,200,0.75,"AR1_HOMO",1000
"mother","small","opt",0.167,200,0.75,"AR1_HOMO",1000
"zero","small","mse",0.117,200,0.75,"AR1_HOMO",1000
"zero","small","ft",0.159,200,0.75,"AR1_HOMO",1000
"zero","small","opt",0.122,200,0.75,"AR1_HOMO",1000
"mother","fixed","mse",0.105,200,0.75,"AR1_HET",1000
"mother","fixed","ft",0.179,200,0.75,"AR1_HET",1000
"mother","fixed","opt",0.126,200,0.75,"AR1_HET",1000
"zero","fixed","mse",0.077,200,0.75,"AR1_HET",1000
"zero","fixed","ft",0.119,200,0.75,"AR1_HET",1000
"zero","fixed","opt",0.087,200,0.75,"AR1_HET",1000
"mother","small","mse",0.116,200,0.75,"AR1_HET",1000
"mother","small","ft",0.183,200,0.75,"AR1_HET",1000
"mother","small","opt",0.129,200,0.75,"AR1_HET",1000
"zero","small","mse",0.101,200,0.75,"AR1_HET",1000
"zero","small","ft",0.123,200,0.75,"AR1_HET",1000
"zero","small","opt",0.104,200,0.75,"AR1_HET",1000
"mother","fixed","mse",0.108,200,0.75,"ARMA_G",1000
"mother","fixed","ft",0.196,200,0.75,"ARMA_G",1000
"mother","fixed","opt",0.129,200,0.75,"ARMA_G",1000
"zero","fixed","mse",0.088,200,0.75,"ARMA_G",1000
"zero","fixed","ft",0.132,200,0.75,"ARMA_G",1000
"zero","fixed","opt",0.092,200,0.75,"ARMA_G",1000
"mother","small","mse",0.129,200,0.75,"ARMA_G",1000
"mother","small","ft",0.201,200,0.75,"ARMA_G",1000
"mother","small","opt",0.14,200,0.75,"ARMA_G",1000
"zero","small","mse",0.113,200,0.75,"ARMA_G",1000
"zero","small","ft",0.14,200,0.75,"ARMA_G",1000
"zero","small","opt",0.109,200,0.75,"ARMA_G",1000
"mother","fixed","mse",0.095,200,0.75,"ARMA_L",1000
"mother","fixed","ft",0.189,200,0.75,"ARMA_L",1000
"mother","fixed","opt",0.125,200,0.75,"ARMA_L",1000
"zero","fixed","mse",0.067,200,0.75,"ARMA_L",1000
"zero","fixed","ft",0.132,200,0.75,"ARMA_L",1000
"zero","fixed","opt",0.084,200,0.75,"ARMA_L",1000
"mother","small","mse",0.119,200,0.75,"ARMA_L",1000
"mother","small","ft",0.191,200,0.75,"ARMA_L",1000
"mother","small","opt",0.137,200,0.75,"ARMA_L",1000
"zero","small","mse",0.106,200,0.75,"ARMA_L",1000
"zero","small","ft",0.136,200,0.75,"ARMA_L",1000
"zero","small","opt",0.098,200,0.75,"ARMA_L",1000
"mother","fixed","mse",0.087,200,0.5,"AR1_HOMO",1000
"mother","fixed","ft",0.108,200,0.5,"AR1_HOMO",1000
"mother","fixed","opt",0.11,200,0.5,"AR1_HOMO",1000
"zero","fixed","mse",0.068,200,0.5,"AR1_HOMO",1000
"zero","fixed","ft",0.076,200,0.5,"AR1_HOMO",1000
"zero","fixed","opt",0.089,200,0.5,"AR1_HOMO",1000
"mother","small","mse",0.094,200,0.5,"AR1_HOMO",1000
"mother","small","ft",0.109,200,0.5,"AR1_HOMO",1000
"mother","small","opt",0.112,200,0.5,"AR1_HOMO",1000
"zero","small","mse",0.086,200,0.5,"AR1_HOMO",1000
"zero","small","ft",0.079,200,0.5,"AR1_HOMO",1000
"zero","small","opt",0.093,200,0.5,"AR1_HOMO",1000
"mother","fixed","mse",0.085,200,0.5,"AR1_HET",1000
"mother","fixed","ft",0.111,200,0.5,"AR1_HET",1000
"mother","fixed","opt",0.114,200,0.5,"AR1_HET",1000
"zero","fixed","mse",0.064,200,0.5,"AR1_HET",1000
"zero","fixed","ft",0.073,200,0.5,"AR1_HET",1000
"zero","fixed","opt",0.087,200,0.5,"AR1_HET",1000
"mother","small","mse",0.09,200,0.5,"AR1_HET",1000
"mother","small","ft",0.112,200,0.5,"AR1_HET",1000
"mother","small","opt",0.115,200,0.5,"AR1_HET",1000
"zero","small","mse",0.078,200,0.5,"AR1_HET",1000
"zero","small","ft",0.077,200,0.5,"AR1_HET",1000
"zero","small","opt",0.094,200,0.5,"AR1_HET",1000
"mother","fixed","mse",0.067,200,0.5,"ARMA_G",1000
"mother","fixed","ft",0.087,200,0.5,"ARMA_G",1000
"mother","fixed","opt",0.082,200,0.5,"ARMA_G",1000
"zero","fixed","mse",0.046,200,0.5,"ARMA_G",1000
"zero","fixed","ft",0.057,200,0.5,"ARMA_G",1000
"zero","fixed","opt",0.062,200,0.5,"ARMA_G",1000
"mother","small","mse",0.069,200,0.5,"ARMA_G",1000
"mother","small","ft",0.087,200,0.5,"ARMA_G",1000
"mother","small","opt",0.083,200,0.5,"ARMA_G",1000
"zero","small","mse",0.062,200,0.5,"ARMA_G",1000
"zero","small","ft",0.066,200,0.5,"ARMA_G",1000
"zero","small","opt",0.068,200,0.5,"ARMA_G",1000
"mother","fixed","mse",0.075,200,0.5,"ARMA_L",1000
"mother","fixed","ft",0.096,200,0.5,"ARMA_L",1000
"mother","fixed","opt",0.099,200,0.5,"ARMA_L",1000
"zero","fixed","mse",0.061,200,0.5,"ARMA_L",1000
"zero","fixed","ft",0.069,200,0.5,"ARMA_L",1000
"zero","fixed","opt",0.076,200,0.5,"ARMA_L",1000
"mother","small","mse",0.08,200,0.5,"ARMA_L",1000
"mother","small","ft",0.097,200,0.5,"ARMA_L",1000
"mother","small","opt",0.1,200,0.5,"ARMA_L",1000
"zero","small","mse",0.072,200,0.5,"ARMA_L",1000
"zero","small","ft",0.075,200,0.5,"ARMA_L",1000
"zero","small","opt",0.08,200,0.5,"ARMA_L",1000
"mother","fixed","mse",0.07,200,0.25,"AR1_HOMO",1000
"mother","fixed","ft",0.078,200,0.25,"AR1_HOMO",1000
"mother","fixed","opt",0.082,200,0.25,"AR1_HOMO",1000
"zero","fixed","mse",0.066,200,0.25,"AR1_HOMO",1000
"zero","fixed","ft",0.068,200,0.25,"AR1_HOMO",1000
"zero","fixed","opt",0.079,200,0.25,"AR1_HOMO",1000
"mother","small","mse",0.073,200,0.25,"AR1_HOMO",1000
"mother","small","ft",0.079,200,0.25,"AR1_HOMO",1000
"mother","small","opt",0.082,200,0.25,"AR1_HOMO",1000
"zero","small","mse",0.069,200,0.25,"AR1_HOMO",1000
"zero","small","ft",0.072,200,0.25,"AR1_HOMO",1000
"zero","small","opt",0.082,200,0.25,"AR1_HOMO",1000
"mother","fixed","mse",0.078,200,0.25,"AR1_HET",1000
"mother","fixed","ft",0.081,200,0.25,"AR1_HET",1000
"mother","fixed","opt",0.092,200,0.25,"AR1_HET",1000
"zero","fixed","mse",0.073,200,0.25,"AR1_HET",1000
"zero","fixed","ft",0.074,200,0.25,"AR1_HET",1000
"zero","fixed","opt",0.086,200,0.25,"AR1_HET",1000
"mother","small","mse",0.081,200,0.25,"AR1_HET",1000
"mother","small","ft",0.082,200,0.25,"AR1_HET",1000
"mother","small","opt",0.092,200,0.25,"AR1_HET",1000
"zero","small","mse",0.075,200,0.25,"AR1_HET",1000
"zero","small","ft",0.08,200,0.25,"AR1_HET",1000
"zero","small","opt",0.09,200,0.25,"AR1_HET",1000
"mother","fixed","mse",0.075,200,0.25,"ARMA_G",1000
"mother","fixed","ft",0.082,200,0.25,"ARMA_G",1000
"mother","fixed","opt",0.089,200,0.25,"ARMA_G",1000
"zero","fixed","mse",0.065,200,0.25,"ARMA_G",1000
"zero","fixed","ft",0.067,200,0.25,"ARMA_G",1000
"zero","fixed","opt",0.084,200,0.25,"ARMA_G",1000
"mother","small","mse",0.077,200,0.25,"ARMA_G",1000
"mother","small","ft",0.083,200,0.25,"ARMA_G",1000
"mother","small","opt",0.09,200,0.25,"ARMA_G",1000
"zero","small","mse",0.069,200,0.25,"ARMA_G",1000
"zero","small","ft",0.068,200,0.25,"ARMA_G",1000
"zero","small","opt",0.086,200,0.25,"ARMA_G",1000
"mother","fixed","mse",0.061,200,0.25,"ARMA_L",1000
"mother","fixed","ft",0.065,200,0.25,"ARMA_L",1000
"mother","fixed","opt",0.07,200,0.25,"ARMA_L",1000
"zero","fixed","mse",0.057,200,0.25,"ARMA_L",1000
"zero","fixed","ft",0.061,200,0.25,"ARMA_L",1000
"zero","fixed","opt",0.067,200,0.25,"ARMA_L",1000
"mother","small","mse",0.062,200,0.25,"ARMA_L",1000
"mother","small","ft",0.066,200,0.25,"ARMA_L",1000
"mother","small","opt",0.071,200,0.25,"ARMA_L",1000
"zero","small","mse",0.06,200,0.25,"ARMA_L",1000
"zero","small","ft",0.065,200,0.25,"ARMA_L",1000
"zero","small","opt",0.071,200,0.25,"ARMA_L",1000
"mother","fixed","mse",0.045,200,0,"AR1_HOMO",1000
"mother","fixed","ft",0.047,200,0,"AR1_HOMO",1000
"mother","fixed","opt",0.046,200,0,"AR1_HOMO",1000
"zero","fixed","mse",0.042,200,0,"AR1_HOMO",1000
"zero","fixed","ft",0.045,200,0,"AR1_HOMO",1000
"zero","fixed","opt",0.044,200,0,"AR1_HOMO",1000
"mother","small","mse",0.045,200,0,"AR1_HOMO",1000
"mother","small","ft",0.049,200,0,"AR1_HOMO",1000
"mother","small","opt",0.046,200,0,"AR1_HOMO",1000
"zero","small","mse",0.045,200,0,"AR1_HOMO",1000
"zero","small","ft",0.049,200,0,"AR1_HOMO",1000
"zero","small","opt",0.046,200,0,"AR1_HOMO",1000
"mother","fixed","mse",0.053,200,0,"AR1_HET",1000
"mother","fixed","ft",0.055,200,0,"AR1_HET",1000
"mother","fixed","opt",0.058,200,0,"AR1_HET",1000
"zero","fixed","mse",0.051,200,0,"AR1_HET",1000
"zero","fixed","ft",0.054,200,0,"AR1_HET",1000
"zero","fixed","opt",0.056,200,0,"AR1_HET",1000
"mother","small","mse",0.053,200,0,"AR1_HET",1000
"mother","small","ft",0.055,200,0,"AR1_HET",1000
"mother","small","opt",0.058,200,0,"AR1_HET",1000
"zero","small","mse",0.053,200,0,"AR1_HET",1000
"zero","small","ft",0.058,200,0,"AR1_HET",1000
"zero","small","opt",0.058,200,0,"AR1_HET",1000
"mother","fixed","mse",0.054,200,0,"ARMA_G",1000
"mother","fixed","ft",0.056,200,0,"ARMA_G",1000
"mother","fixed","opt",0.056,200,0,"ARMA_G",1000
"zero","fixed","mse",0.05,200,0,"ARMA_G",1000
"zero","fixed","ft",0.057,200,0,"ARMA_G",1000
"zero","fixed","opt",0.052,200,0,"ARMA_G",1000
"mother","small","mse",0.055,200,0,"ARMA_G",1000
"mother","small","ft",0.058,200,0,"ARMA_G",1000
"mother","small","opt",0.057,200,0,"ARMA_G",1000
"zero","small","mse",0.054,200,0,"ARMA_G",1000
"zero","small","ft",0.063,200,0,"ARMA_G",1000
"zero","small","opt",0.057,200,0,"ARMA_G",1000
"mother","fixed","mse",0.055,200,0,"ARMA_L",1000
"mother","fixed","ft",0.058,200,0,"ARMA_L",1000
"mother","fixed","opt",0.057,200,0,"ARMA_L",1000
"zero","fixed","mse",0.052,200,0,"ARMA_L",1000
"zero","fixed","ft",0.06,200,0,"ARMA_L",1000
"zero","fixed","opt",0.056,200,0,"ARMA_L",1000
"mother","small","mse",0.055,200,0,"ARMA_L",1000
"mother","small","ft",0.058,200,0,"ARMA_L",1000
"mother","small","opt",0.057,200,0,"ARMA_L",1000
"zero","small","mse",0.053,200,0,"ARMA_L",1000
"zero","small","ft",0.066,200,0,"ARMA_L",1000
"zero","small","opt",0.057,200,0,"ARMA_L",1000
"mother","fixed","mse",0.126,500,0.9,"AR1_HOMO",1000
"mother","fixed","ft",0.162,500,0.9,"AR1_HOMO",1000
"mother","fixed","opt",0.145,500,0.9,"AR1_HOMO",1000
"zero","fixed","mse",0.102,500,0.9,"AR1_HOMO",1000
"zero","fixed","ft",0.119,500,0.9,"AR1_HOMO",1000
"zero","fixed","opt",0.111,500,0.9,"AR1_HOMO",1000
"mother","small","mse",0.14,500,0.9,"AR1_HOMO",1000
"mother","small","ft",0.17,500,0.9,"AR1_HOMO",1000
"mother","small","opt",0.153,500,0.9,"AR1_HOMO",1000
"zero","small","mse",0.124,500,0.9,"AR1_HOMO",1000
"zero","small","ft",0.123,500,0.9,"AR1_HOMO",1000
"zero","small","opt",0.123,500,0.9,"AR1_HOMO",1000
"mother","fixed","mse",0.12,500,0.9,"AR1_HET",1000
"mother","fixed","ft",0.153,500,0.9,"AR1_HET",1000
"mother","fixed","opt",0.136,500,0.9,"AR1_HET",1000
"zero","fixed","mse",0.09,500,0.9,"AR1_HET",1000
"zero","fixed","ft",0.108,500,0.9,"AR1_HET",1000
"zero","fixed","opt",0.097,500,0.9,"AR1_HET",1000
"mother","small","mse",0.133,500,0.9,"AR1_HET",1000
"mother","small","ft",0.159,500,0.9,"AR1_HET",1000
"mother","small","opt",0.145,500,0.9,"AR1_HET",1000
"zero","small","mse",0.118,500,0.9,"AR1_HET",1000
"zero","small","ft",0.116,500,0.9,"AR1_HET",1000
"zero","small","opt",0.115,500,0.9,"AR1_HET",1000
"mother","fixed","mse",0.124,500,0.9,"ARMA_G",1000
"mother","fixed","ft",0.169,500,0.9,"ARMA_G",1000
"mother","fixed","opt",0.144,500,0.9,"ARMA_G",1000
"zero","fixed","mse",0.083,500,0.9,"ARMA_G",1000
"zero","fixed","ft",0.105,500,0.9,"ARMA_G",1000
"zero","fixed","opt",0.093,500,0.9,"ARMA_G",1000
"mother","small","mse",0.149,500,0.9,"ARMA_G",1000
"mother","small","ft",0.185,500,0.9,"ARMA_G",1000
"mother","small","opt",0.156,500,0.9,"ARMA_G",1000
"zero","small","mse",0.128,500,0.9,"ARMA_G",1000
"zero","small","ft",0.126,500,0.9,"ARMA_G",1000
"zero","small","opt",0.125,500,0.9,"ARMA_G",1000
"mother","fixed","mse",0.143,500,0.9,"ARMA_L",1000
"mother","fixed","ft",0.182,500,0.9,"ARMA_L",1000
"mother","fixed","opt",0.157,500,0.9,"ARMA_L",1000
"zero","fixed","mse",0.11,500,0.9,"ARMA_L",1000
"zero","fixed","ft",0.129,500,0.9,"ARMA_L",1000
"zero","fixed","opt",0.116,500,0.9,"ARMA_L",1000
"mother","small","mse",0.163,500,0.9,"ARMA_L",1000
"mother","small","ft",0.19,500,0.9,"ARMA_L",1000
"mother","small","opt",0.172,500,0.9,"ARMA_L",1000
"zero","small","mse",0.146,500,0.9,"ARMA_L",1000
"zero","small","ft",0.143,500,0.9,"ARMA_L",1000
"zero","small","opt",0.141,500,0.9,"ARMA_L",1000
"mother","fixed","mse",0.095,500,0.75,"AR1_HOMO",1000
"mother","fixed","ft",0.147,500,0.75,"AR1_HOMO",1000
"mother","fixed","opt",0.112,500,0.75,"AR1_HOMO",1000
"zero","fixed","mse",0.077,500,0.75,"AR1_HOMO",1000
"zero","fixed","ft",0.104,500,0.75,"AR1_HOMO",1000
"zero","fixed","opt",0.087,500,0.75,"AR1_HOMO",1000
"mother","small","mse",0.096,500,0.75,"AR1_HOMO",1000
"mother","small","ft",0.149,500,0.75,"AR1_HOMO",1000
"mother","small","opt",0.117,500,0.75,"AR1_HOMO",1000
"zero","small","mse",0.091,500,0.75,"AR1_HOMO",1000
"zero","small","ft",0.106,500,0.75,"AR1_HOMO",1000
"zero","small","opt",0.09,500,0.75,"AR1_HOMO",1000
"mother","fixed","mse",0.088,500,0.75,"AR1_HET",1000
"mother","fixed","ft",0.148,500,0.75,"AR1_HET",1000
"mother","fixed","opt",0.108,500,0.75,"AR1_HET",1000
"zero","fixed","mse",0.066,500,0.75,"AR1_HET",1000
"zero","fixed","ft",0.099,500,0.75,"AR1_HET",1000
"zero","fixed","opt",0.07,500,0.75,"AR1_HET",1000
"mother","small","mse",0.095,500,0.75,"AR1_HET",1000
"mother","small","ft",0.15,500,0.75,"AR1_HET",1000
"mother","small","opt",0.112,500,0.75,"AR1_HET",1000
"zero","small","mse",0.08,500,0.75,"AR1_HET",1000
"zero","small","ft",0.103,500,0.75,"AR1_HET",1000
"zero","small","opt",0.075,500,0.75,"AR1_HET",1000
"mother","fixed","mse",0.075,500,0.75,"ARMA_G",1000
"mother","fixed","ft",0.121,500,0.75,"ARMA_G",1000
"mother","fixed","opt",0.086,500,0.75,"ARMA_G",1000
"zero","fixed","mse",0.057,500,0.75,"ARMA_G",1000
"zero","fixed","ft",0.07,500,0.75,"ARMA_G",1000
"zero","fixed","opt",0.062,500,0.75,"ARMA_G",1000
"mother","small","mse",0.082,500,0.75,"ARMA_G",1000
"mother","small","ft",0.122,500,0.75,"ARMA_G",1000
"mother","small","opt",0.091,500,0.75,"ARMA_G",1000
"zero","small","mse",0.071,500,0.75,"ARMA_G",1000
"zero","small","ft",0.075,500,0.75,"ARMA_G",1000
"zero","small","opt",0.069,500,0.75,"ARMA_G",1000
"mother","fixed","mse",0.095,500,0.75,"ARMA_L",1000
"mother","fixed","ft",0.144,500,0.75,"ARMA_L",1000
"mother","fixed","opt",0.11,500,0.75,"ARMA_L",1000
"zero","fixed","mse",0.078,500,0.75,"ARMA_L",1000
"zero","fixed","ft",0.102,500,0.75,"ARMA_L",1000
"zero","fixed","opt",0.084,500,0.75,"ARMA_L",1000
"mother","small","mse",0.103,500,0.75,"ARMA_L",1000
"mother","small","ft",0.147,500,0.75,"ARMA_L",1000
"mother","small","opt",0.112,500,0.75,"ARMA_L",1000
"zero","small","mse",0.093,500,0.75,"ARMA_L",1000
"zero","small","ft",0.108,500,0.75,"ARMA_L",1000
"zero","small","opt",0.089,500,0.75,"ARMA_L",1000
"mother","fixed","mse",0.064,500,0.5,"AR1_HOMO",1000
"mother","fixed","ft",0.094,500,0.5,"AR1_HOMO",1000
"mother","fixed","opt",0.083,500,0.5,"AR1_HOMO",1000
"zero","fixed","mse",0.056,500,0.5,"AR1_HOMO",1000
"zero","fixed","ft",0.063,500,0.5,"AR1_HOMO",1000
"zero","fixed","opt",0.061,500,0.5,"AR1_HOMO",1000
"mother","small","mse",0.065,500,0.5,"AR1_HOMO",1000
"mother","small","ft",0.094,500,0.5,"AR1_HOMO",1000
"mother","small","opt",0.083,500,0.5,"AR1_HOMO",1000
"zero","small","mse",0.057,500,0.5,"AR1_HOMO",1000
"zero","small","ft",0.065,500,0.5,"AR1_HOMO",1000
"zero","small","opt",0.063,500,0.5,"AR1_HOMO",1000
"mother","fixed","mse",0.065,500,0.5,"AR1_HET",1000
"mother","fixed","ft",0.086,500,0.5,"AR1_HET",1000
"mother","fixed","opt",0.078,500,0.5,"AR1_HET",1000
"zero","fixed","mse",0.051,500,0.5,"AR1_HET",1000
"zero","fixed","ft",0.06,500,0.5,"AR1_HET",1000
"zero","fixed","opt",0.058,500,0.5,"AR1_HET",1000
"mother","small","mse",0.066,500,0.5,"AR1_HET",1000
"mother","small","ft",0.087,500,0.5,"AR1_HET",1000
"mother","small","opt",0.078,500,0.5,"AR1_HET",1000
"zero","small","mse",0.055,500,0.5,"AR1_HET",1000
"zero","small","ft",0.061,500,0.5,"AR1_HET",1000
"zero","small","opt",0.061,500,0.5,"AR1_HET",1000
